PLATE,SOURCE,TIME
JI4CV0002,webcam,2026-05-27 00:27:32
RJ14CYO002,webcam,2026-05-27 00:27:32
22BH6517A,webcam,2026-05-27 00:30:57
22BH6517,webcam,2026-05-27 00:30:57
22BH6517,webcam,2026-05-27 00:30:58
22BH6517,webcam,2026-05-27 00:30:58
22BH6517A,webcam,2026-05-27 00:30:59
22BH65I7A,webcam,2026-05-27 00:31:00
22BH6517A,webcam,2026-05-27 00:31:00
22BH6517,webcam,2026-05-27 00:31:01
22BH6517A,webcam,2026-05-27 00:31:02
22BH6517A,webcam,2026-05-27 00:31:02
22BH6517A,webcam,2026-05-27 00:39:23
22BH6517A,webcam,2026-05-27 00:39:24
22BH6517A,webcam,2026-05-27 00:39:24
JI4CV0002,webcam,2026-05-31 23:12:22
JI4CV0002,webcam,2026-05-31 23:12:23
JI4CV0002,webcam,2026-05-31 23:12:24
JI4CV0002,webcam,2026-05-31 23:12:24
JI4CV0002,webcam,2026-05-31 23:12:25
JI4CV0002,webcam,2026-05-31 23:12:26
RJ14CV0002,webcam,2026-05-31 23:12:26
RJ14CY0002,webcam,2026-05-31 23:12:27
RJ14CV0002,webcam,2026-05-31 23:12:28
RJ14CV0002,webcam,2026-05-31 23:12:29
RJ14CV0002,webcam,2026-05-31 23:12:30
RJ14CV0002,webcam,2026-05-31 23:12:31
RJ14CV0002,webcam,2026-05-31 23:16:34
RJ14CV0002,webcam,2026-05-31 23:16:35
RJ14CV0002,webcam,2026-05-31 23:16:36
